,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
27,white,1.9459101490553132,-1.2729656758128873,0.39,2.163323025660538,-2.9759296462578115,3.4657359027997265,141.0,0.9961,3.38,-0.6348782724359695,10.5,6
28,white,2.0014800002101243,-1.3093333199837622,0.48,0.09531017980432493,-3.0576076772720784,2.833213344056216,132.0,0.9914,3.19,-0.7133498878774648,11.6,6
29,white,1.9740810260220096,-1.1394342831883648,0.36,0.6931471805599453,-3.4112477175156566,3.6109179126442243,114.0,0.9906,3.1,-0.342490308946776,12.3,7
30,white,2.1400661634962708,-1.4271163556401458,0.39,2.341805806147327,-3.123565645063876,2.995732273553991,142.0,0.9974,3.2,-0.6348782724359695,10.0,6
31,white,2.1162555148025524,-1.9661128563728327,0.34,0.09531017980432493,-3.170085660698769,1.9459101490553132,47.0,0.9934,3.47,-0.916290731874155,10.2,6
32,white,2.0014800002101243,-1.3862943611198906,0.36,0.7178397931503168,-2.995732273553991,3.4339872044851463,100.0,0.992,3.19,-0.8209805520698302,10.8,6
33,white,1.824549292051046,-2.120263536200091,0.34,1.6945740398116618,-3.101092789211817,3.7612001156935624,117.0,0.9939,3.42,-0.6733445532637656,9.0,6
34,white,1.7578579175523736,-1.3093333199837622,0.2,2.7047112998366956,-3.123565645063876,3.091042453358316,179.0,0.9962,3.37,-0.9942522733438669,10.2,5
35,white,1.9878743481543455,-1.2729656758128873,0.43,0.5306282510621704,-2.5257286443082556,3.044522437723423,123.0,0.9905,3.19,-0.8675005677047231,12.8,5
36,white,1.8718021769015913,-0.941608539858445,0.23,1.6863989535702288,-2.9759296462578115,3.2188758248682006,149.0,0.9934,3.24,-1.0498221244986778,10.0,5
37,white,1.9459101490553132,-1.1086626245216111,0.32,0.1823215567939546,-2.9374633654300153,3.6375861597263857,138.0,0.9906,3.13,-1.2729656758128873,11.2,6
38,white,1.9878743481543455,-1.4271163556401458,0.39,2.8875901149342877,-2.864704011147587,3.8066624897703196,149.0,0.9999,3.21,-1.0216512475319814,8.6,5
39,white,1.9878743481543455,-1.4271163556401458,0.39,2.8875901149342877,-2.864704011147587,3.8066624897703196,149.0,0.9999,3.21,-1.0216512475319814,8.6,5
40,white,1.9021075263969205,-1.4696759700589417,0.39,0.9162907318741551,-1.760260802168684,4.143134726391533,158.0,0.9937,3.11,-1.0216512475319814,9.4,6
41,white,1.9021075263969205,-1.4271163556401458,0.39,1.0647107369924282,-1.7544636844843582,4.143134726391533,157.0,0.9937,3.1,-1.0788096613719298,9.4,6
42,white,1.9459101490553132,-1.171182981502945,0.26,2.0014800002101243,-2.6736487743848776,3.332204510175204,160.0,0.9954,3.13,-0.7765287894989963,9.8,6
43,white,1.8870696490323797,-1.4271163556401458,0.27,0.3364722366212129,-2.864704011147587,3.4965075614664802,152.0,0.9934,3.22,-0.579818495252942,9.5,6
44,white,1.9021075263969205,-1.4696759700589417,0.26,0.3364722366212129,-2.8134107167600364,3.4965075614664802,154.0,0.9934,3.24,-0.579818495252942,9.5,6
45,white,2.0014800002101243,-1.7147984280919266,0.31,0.3364722366212129,-2.8473122684357177,3.6375861597263857,167.0,0.9931,3.16,-0.6348782724359695,10.0,7
46,white,1.824549292051046,-0.7985076962177716,0.26,1.4816045409242156,-2.7646205525906042,4.143134726391533,206.0,0.994,3.27,-0.6539264674066639,9.8,4
47,white,1.824549292051046,-0.7765287894989963,0.25,1.4816045409242156,-2.7181005369557116,4.127134385045092,207.0,0.9939,3.25,-0.6539264674066639,9.8,5
48,white,1.9459101490553132,-1.171182981502945,0.26,2.0014800002101243,-2.6736487743848776,3.332204510175204,160.0,0.9954,3.13,-0.7765287894989963,9.8,6
49,white,1.9315214116032138,-1.6607312068216509,0.35,1.6094379124341003,-2.703062659591171,3.4657359027997265,150.0,0.995,3.36,-0.7339691750802004,9.8,5
50,white,1.9740810260220096,-1.6607312068216509,0.31,0.47000362924573563,-2.7806208939370456,3.4339872044851463,173.0,0.9917,3.35,-0.8209805520698302,11.7,6
51,white,1.8870696490323797,-1.3862943611198906,0.29,0.09531017980432493,-2.6882475738060303,3.6635616461296463,124.0,0.9914,3.34,-0.5447271754416722,11.0,7
52,white,1.824549292051046,-1.8325814637483102,0.33,0.09531017980432493,-2.864704011147587,3.044522437723423,82.0,0.991,3.32,-0.7765287894989963,10.9,7
53,white,1.8562979903656263,-1.7147984280919266,0.35,0.0,-3.101092789211817,3.6635616461296463,108.0,0.9911,3.31,-1.0498221244986778,10.9,6
54,white,1.916922612182061,-1.6094379124341003,0.59,-0.10536051565782628,-1.9173226922034008,3.6375861597263857,132.0,0.993,3.218395499383475,-0.9675840262617056,9.1,6
55,white,1.9315214116032138,-1.3862943611198906,0.35,0.26236426446749106,-3.2441936328524905,3.367295829986474,191.0,0.9908,3.13,-0.6539264674066639,11.0,6
56,white,1.9740810260220096,-1.5606477482646683,0.34,2.4765384001174837,-3.146555163288575,3.6109179126442243,213.0,0.9962,3.09,-0.6931471805599453,9.6,6
57,white,1.791759469228055,-1.6607312068216509,0.26,2.517696472610991,-3.036554268074246,3.912023005428146,147.0,0.9972,3.3,-1.0216512475319814,8.9,6
58,white,1.8870696490323797,-0.9675840262617056,0.15,1.5260563034950492,-3.123565645063876,3.2188758248682006,78.0,0.9931,3.11,-0.9675840262617056,10.2,6
59,white,2.0014800002101243,-1.6094379124341003,0.36,0.1823215567939546,-3.270169119255751,3.784189633918261,111.0,0.9926,3.36,-1.0788096613719298,9.9,6
60,white,1.916922612182061,-1.5141277326297755,0.24,1.589235205116581,-2.385966701933097,3.4011973816621555,123.0,0.9951,3.03,-0.7765287894989963,8.6,6
61,white,1.791759469228055,-1.6607312068216509,0.26,2.517696472610991,-3.036554268074246,3.912023005428146,147.0,0.9972,3.3,-1.0216512475319814,8.9,6
62,white,1.9459101490553132,-0.7550225842780328,0.07,0.09531017980432493,-3.3524072174927233,2.833213344056216,151.0,0.991,3.02,-1.0788096613719298,10.5,5
63,white,1.8870696490323797,-0.9675840262617056,0.15,1.5260563034950492,-3.123565645063876,3.2188758248682006,78.0,0.9931,3.11,-0.9675840262617056,10.2,6
64,white,1.9740810260220096,-1.4271163556401458,0.27,0.3364722366212129,-3.270169119255751,3.4339872044851463,122.0,0.9927,3.15,-0.7765287894989963,10.3,6
65,white,1.824549292051046,-1.0498221244986778,0.03,0.1823215567939546,-2.7488721956224653,3.367295829986474,120.0,0.9934,3.22,-0.616186139423817,9.1,5
66,white,1.8562979903656263,-1.3470736479666092,0.24,1.8562979903656263,-3.2188758248682006,3.295836866004329,124.0,0.9903,3.22,-0.7133498878774648,12.6,7
67,white,1.9021075263969205,-1.3862943611198906,0.13,0.1823215567939546,-3.1941832122778293,4.394449154672439,174.0,0.992,3.14,-0.8675005677047231,9.8,5
68,white,1.9021075263969205,-1.4696759700589417,0.31,0.7419373447293773,-3.079113882493042,3.4011973816621555,96.0,0.9926,3.33,-0.4462871026284195,10.7,8
69,white,2.0014800002101243,-1.4271163556401458,0.29,2.312535423847214,-2.995732273553991,3.044522437723423,105.0,0.9962,3.13,-1.0498221244986778,9.5,5
70,white,1.824549292051046,-1.3093333199837622,0.43,2.0541237336955462,-2.8824035882469876,3.871201010907891,244.0,0.9956,3.1,-0.6733445532637656,9.0,6
71,white,1.916922612182061,-1.2039728043259361,0.23,1.5260563034950492,-2.796881414808826,3.9219733362813143,238.5,0.9958,3.32,-0.5108256237659907,9.5,5
72,white,1.791759469228055,-1.3093333199837622,0.28,1.5686159179138452,-2.7646205525906042,3.4339872044851463,201.0,0.9964,3.69,-0.342490308946776,10.0,5
73,white,2.151762203259462,-1.4696759700589417,0.46,0.0,-2.9187712324178627,2.1972245773362196,72.0,0.9941,2.95,-0.7133498878774648,9.1,6
74,white,1.9021075263969205,-1.4696759700589417,0.31,0.7419373447293773,-3.079113882493042,3.4011973816621555,96.0,0.9926,3.33,-0.4462871026284195,10.7,8
75,white,2.0014800002101243,-1.4271163556401458,0.29,2.312535423847214,-2.995732273553991,3.044522437723423,105.0,0.9962,3.13,-1.0498221244986778,9.5,5
76,white,1.9600947840472698,-1.7147984280919266,0.36,0.3364722366212129,-3.146555163288575,3.4339872044851463,87.0,0.9898,3.26,-0.9942522733438669,12.7,7
77,white,1.9459101490553132,-1.1394342831883648,0.34,0.26236426446749106,-3.170085660698769,2.995732273553991,69.0,0.9912,3.31,-0.4307829160924542,12.0,7
78,white,2.0014800002101243,-1.7147984280919266,0.3,2.174751721484161,-2.7488721956224653,3.258096538021482,103.0,0.9961,2.94,-0.579818495252942,9.3,5
79,white,1.9021075263969205,-0.616186139423817,0.28,1.6863989535702288,-2.8134107167600364,3.044522437723423,105.0,0.9949,3.27,-0.9942522733438669,9.0,5
80,white,1.916922612182061,-1.5141277326297755,0.31,0.3364722366212129,-2.9374633654300153,3.5263605246161616,114.0,0.9929,3.39,-0.2613647641344075,10.6,6
81,white,1.9600947840472698,-1.6094379124341003,0.34,2.772588722239781,-2.995732273553991,3.9318256327243257,166.0,0.9985,3.21,-0.5108256237659907,9.2,6
82,white,1.9600947840472698,-1.0788096613719298,0.2,1.8082887711792655,-2.7646205525906042,3.8501476017100584,164.0,0.9946,3.17,-0.8675005677047231,10.0,5
83,white,1.9878743481543455,-1.5141277326297755,0.3,2.1041341542702074,-3.0576076772720784,3.7376696182833684,207.0,0.9966,3.33,-0.7765287894989963,9.5,6
84,white,1.9600947840472698,-0.843970070294529,0.61,2.468099531471619,-3.101092789211817,3.9889840465642745,155.0,0.9974,3.11,-0.7985076962177716,8.7,5
85,white,1.9600947840472698,-0.8209805520698302,0.62,2.468099531471619,-3.123565645063876,3.9512437185814275,152.0,0.9975,3.12,-0.7765287894989963,8.7,6
86,white,1.9740810260220096,-1.0797188523113612,0.63,2.3978952727983707,-3.123565645063876,4.007333185232471,156.0,0.9974,3.09,-0.8209805520698302,8.7,6
87,white,1.916922612182061,-1.3862943611198906,0.31,2.5877640352277083,-2.995732273553991,4.23410650459726,202.0,0.9972,3.22,-0.7339691750802004,9.7,6
88,white,1.9600947840472698,-0.843970070294529,0.61,2.468099531471619,-3.101092789211817,3.9889840465642745,155.0,0.9974,3.11,-0.7985076962177716,8.7,5
89,white,1.9600947840472698,-0.8209805520698302,0.62,2.468099531471619,-3.123565645063876,3.9512437185814275,152.0,0.9975,3.12,-0.7765287894989963,8.7,6
90,white,1.9740810260220096,-0.941608539858445,0.63,2.3978952727983707,-3.123565645063876,4.007333185232471,156.0,0.9974,3.09,-0.8209805520698302,8.7,6
91,white,1.8082887711792655,-1.3093333199837622,0.43,2.0149030205422647,-3.0159349808715104,4.174387269895637,243.0,0.9957,3.12,-0.7550225842780328,9.0,5
92,white,1.9315214116032138,-1.4271163556401458,0.33,0.5306282510621704,-3.3524072174927233,3.8501476017100584,136.0,0.99,3.26,-0.916290731874155,12.6,7
93,white,1.9315214116032138,-1.5606477482646683,0.33,0.5877866649021191,-3.3813947543659757,3.871201010907891,136.0,0.9899,3.25,-0.8915981192837836,12.6,7
94,white,2.0149030205422647,-1.7719568419318752,0.32,0.5306282510621704,-3.2188758248682006,3.9318256327243257,148.0,0.9916,3.21,-0.8209805520698302,11.5,7
95,white,1.9600947840472698,-1.3470736479666092,0.29,2.517696472610991,-3.123565645063876,4.127134385045092,240.0,0.9969,3.04,-0.8675005677047231,9.2,6
96,white,1.791759469228055,-1.0788096613719298,0.66,2.766319109226186,-3.079113882493042,3.258096538021482,164.0,0.9979,3.14,-0.6931471805599453,8.8,6
97,white,2.151762203259462,-1.3280254529959148,0.36,0.1823215567939546,-3.3813947543659757,2.70805020110221,80.0,0.9913,2.95,-1.0216512475319814,11.4,7
98,white,2.2823823856765264,-1.0216512475319814,0.46,2.3513752571634776,-2.8816615343728045,1.3862943611198906,83.0,0.9956,2.89,-1.2039728043259361,10.1,4
99,white,1.791759469228055,-1.0788096613719298,0.66,2.766319109226186,-3.079113882493042,3.258096538021482,164.0,0.9979,3.14,-0.6931471805599453,8.8,6
100,white,2.0014800002101243,-1.3862943611198906,0.37,2.6026896854443837,-2.8134107167600364,3.9512437185814275,192.0,0.9975,3.0,-0.8209805520698302,9.1,5
101,white,1.9600947840472698,-2.120263536200091,0.32,2.2617630984737906,-2.9187712324178627,4.1588830833596715,162.0,0.9962,3.4,-0.8915981192837836,9.4,5
102,white,1.791759469228055,-1.5606477482646683,0.24,2.4932054526026954,-2.995732273553991,4.007333185232471,164.0,0.997,3.34,-0.941608539858445,9.4,5
103,white,2.0149030205422647,-1.1874435023747254,0.4,2.9391619220655967,-2.8302178350764176,3.784189633918261,170.0,1.0,2.99,-0.7765287894989963,9.0,5
104,white,2.0014800002101243,-1.3862943611198906,0.37,2.6026896854443837,-2.8134107167600364,3.9512437185814275,192.0,0.9975,3.0,-0.8209805520698302,9.1,5
105,white,1.9878743481543455,-2.0402208285265546,0.32,2.667228206581955,-2.9759296462578115,3.5263605246161616,109.0,0.9974,3.2,-1.0498221244986778,9.2,6
106,white,1.9600947840472698,-2.120263536200091,0.32,2.2617630984737906,-2.9187712324178627,4.1588830833596715,162.0,0.9962,3.4,-0.8915981192837836,9.4,5
107,white,1.9600947840472698,-1.4696759700589417,0.35,2.803360380906535,-3.2188758248682006,4.0943445622221,171.0,0.999,3.16,-0.527632742082372,9.1,6
108,white,1.9600947840472698,-1.4696759700589417,0.35,2.803360380906535,-3.2188758248682006,4.0943445622221,171.0,0.999,3.16,-0.527632742082372,9.1,6
109,white,1.9315214116032138,-1.1086626245216111,0.28,0.26236426446749106,-2.9759296462578115,3.6109179126442243,187.0,0.9927,3.27,-0.5108256237659907,10.3,5
110,white,1.8718021769015913,-1.7719568419318752,0.54,2.1400661634962708,-2.501036031717884,4.1588830833596715,163.0,0.9959,2.89,-0.941608539858445,8.8,6
111,white,1.9740810260220096,-1.3093333199837622,0.46,2.9311937524164198,-2.9565115604007097,3.8066624897703196,255.0,1.0,3.04,-0.6539264674066639,8.9,5
112,white,1.9740810260220096,-1.171182981502945,0.5,2.5877640352277083,-2.8824035882469876,4.219507705176107,195.0,0.9982,3.01,-0.7550225842780328,9.2,5
113,white,1.9021075263969205,-0.8915981192837836,0.34,2.2192034840549946,-3.0159349808715104,3.367295829986474,150.0,0.9968,3.22,-0.6733445532637656,9.1,5
114,white,1.9021075263969205,-0.8915981192837836,0.34,2.2192034840549946,-3.0159349808715104,3.367295829986474,150.0,0.9968,3.22,-0.6733445532637656,9.1,5
115,white,1.7047480922384253,-0.7236063880446539,0.0,0.4054651081081644,-2.7333680090865,2.0794415416798357,103.0,0.994,3.63,-0.916290731874155,9.7,4
116,white,1.791759469228055,-1.171182981502945,0.24,1.1939224684724346,-3.1941832122778293,3.2188758248682006,143.0,0.9914,3.31,-0.8209805520698302,11.3,6
117,white,1.9459101490553132,-1.9661128563728327,0.4,0.5306282510621704,-3.3524072174927233,2.772588722239781,85.0,0.9911,3.19,-0.8675005677047231,11.8,6
118,white,1.9740810260220096,-1.171182981502945,0.5,2.5877640352277083,-2.8824035882469876,4.219507705176107,195.0,0.9982,3.01,-0.7550225842780328,9.2,5
119,white,1.9878743481543455,-1.1394342831883648,0.48,2.5877640352277083,-2.8134107167600364,4.04305126783455,196.0,0.9982,3.04,-0.6931471805599453,9.2,5
120,white,1.7749523509116738,-1.0216512475319814,0.04,1.7404661748405046,-3.079113882493042,3.044522437723423,87.0,0.9934,3.22,-0.6733445532637656,10.2,5
121,white,2.0541237336955462,-1.4271163556401458,0.32,2.501435951739211,-2.9187712324178627,3.7376696182833684,138.0,0.9984,3.01,-0.616186139423817,8.8,5
122,white,2.0014800002101243,-1.8325814637483102,0.31,1.9242486522741338,-2.8302178350764176,3.4339872044851463,131.0,0.9952,3.29,-1.0788096613719298,9.7,5
123,white,1.9315214116032138,-1.6607312068216509,0.28,1.6094379124341003,-2.8473122684357177,2.6390573296152584,146.0,0.9952,3.29,-1.0216512475319814,9.1,6
124,white,1.8562979903656263,-2.0402208285265546,0.47,0.47000362924573563,-2.385966701933097,3.6888794541139363,158.0,0.9928,3.21,-1.0216512475319814,9.8,6
125,white,1.9021075263969205,-1.6607312068216509,0.36,0.09531017980432493,-3.649658740960655,4.143134726391533,143.0,0.9912,3.27,-0.7339691750802004,11.0,6
126,white,2.0014800002101243,-0.941608539858445,0.23,1.9459101490553132,-3.4112477175156566,3.367295829986474,126.0,0.994,3.14,-0.8675005677047231,10.5,5
127,white,1.8718021769015913,-1.4271163556401458,0.32,2.028148247292285,-3.270169119255751,3.871201010907891,203.0,0.9958,3.45,-0.616186139423817,9.7,7
128,white,1.8082887711792655,-1.2039728043259361,0.56,1.0296194171811581,-3.123565645063876,3.8501476017100584,179.0,0.9924,3.3,-0.5621189181535413,10.9,7
129,white,1.8082887711792655,-1.2039728043259361,0.56,0.9932517730102834,-3.079113882493042,3.828641396489095,184.0,0.9924,3.31,-0.5621189181535413,10.9,6
130,white,1.7404661748405046,-1.3470736479666092,0.25,2.341805806147327,-3.912023005428146,1.9459101490553132,57.0,0.994,3.39,-0.9942522733438669,10.6,5
131,white,1.8718021769015913,-1.4271163556401458,0.32,2.028148247292285,-3.270169119255751,3.871201010907891,203.0,0.9958,3.45,-0.616186139423817,9.7,7
132,white,1.8718021769015913,-0.8556661100577202,0.4,2.5726122302071057,-3.270169119255751,4.07753744390572,241.0,0.9979,3.23,-0.5621189181535413,9.0,5
133,white,1.8870696490323797,-1.4271163556401458,0.27,2.760009940032921,-3.3524072174927233,3.828641396489095,188.0,0.9982,3.24,-0.6733445532637656,9.2,5
134,white,1.916922612182061,-1.3093333199837622,0.22,2.0918640616783932,-3.3813947543659757,4.007333185232471,203.0,0.9961,3.19,-0.6539264674066639,8.9,5
135,white,1.9021075263969205,-1.3093333199837622,0.31,2.7536607123542622,-3.3242363405260273,3.784189633918261,179.0,0.9979,3.26,-0.579818495252942,9.6,5
136,white,2.1041341542702074,-1.4696759700589417,0.4,0.1823215567939546,-3.611918412977808,3.58351893845611,121.0,0.992,3.12,-0.9675840262617056,10.7,6
137,white,1.9600947840472698,-0.9942522733438669,0.67,2.3513752571634776,-3.101092789211817,3.8918202981106265,155.0,0.9975,3.16,-0.8209805520698302,8.7,5
138,white,1.916922612182061,-1.6607312068216509,0.36,0.6418538861723947,-3.3524072174927233,3.4011973816621555,96.0,0.9917,3.15,-0.616186139423817,10.8,7
139,white,2.0918640616783932,-1.2729656758128873,0.39,0.6418538861723947,-3.540459448995663,2.8903717578961645,79.0,0.9923,3.218395499383475,-0.6539264674066639,11.8,6
140,white,1.840549633397487,-1.171182981502945,0.34,0.7884573603642703,-3.101092789211817,2.995732273553991,77.0,0.9927,3.3,-0.843970070294529,10.2,5
141,white,1.9600947840472698,-0.9942522733438669,0.67,2.3513752571634776,-3.101092789211817,3.8918202981106265,155.0,0.9975,3.16,-0.8209805520698302,8.7,5
142,white,2.066862759472976,-1.5606477482646683,0.4,0.1823215567939546,-3.2441936328524905,3.6375861597263857,107.0,0.992,3.21,-0.616186139423817,10.8,6
143,white,2.1400661634962708,-1.5606477482646683,0.41,1.4586150226995167,-3.3242363405260273,3.1780538303479458,99.0,0.9947,3.18,-0.6348782724359695,9.7,6
144,white,2.0918640616783932,-1.6094379124341003,0.4,0.6931471805599453,-3.2968373663379125,2.9444389791664403,87.0,0.9921,3.12,-0.616186139423817,11.2,6
145,white,1.840549633397487,-1.3664917338237108,0.37,0.09531017980432493,-3.2188758248682006,3.6109179126442243,114.0,0.9905,3.0,-0.941608539858445,10.9,6
146,white,1.7227665977411035,-1.8325814637483102,0.27,0.3364722366212129,-3.123565645063876,3.970291913552122,168.0,0.9918,3.28,-0.9942522733438669,10.1,6
147,white,1.8562979903656263,-0.5191938734365074,0.14,1.6486586255873816,-2.8473122684357177,2.70805020110221,97.0,0.9951,3.38,-1.0216512475319814,9.0,4
148,white,1.840549633397487,-1.0788096613719298,0.33,1.5260563034950492,-3.3813947543659757,2.9444389791664403,80.0,0.9917,3.38,-0.5447271754416722,12.0,7
149,white,1.9315214116032138,-1.3862943611198906,0.3,1.410986973710262,-2.9187712324178627,3.1354942159291497,116.0,0.994,2.99,-0.9675840262617056,9.4,6
150,white,2.066862759472976,-1.5141277326297755,0.38,2.0794415416798357,-3.146555163288575,3.828641396489095,152.0,0.9934,3.12,-1.1394342831883648,11.5,7
151,white,2.028148247292285,-1.7147984280919266,0.46,2.322387720290225,-2.900422093749666,4.060443010546419,135.0,0.9968,3.14,-0.843970070294529,9.9,6
152,white,1.9315214116032138,-1.3862943611198906,0.3,1.410986973710262,-2.9187712324178627,3.1354942159291497,116.0,0.994,2.99,-0.9675840262617056,9.4,6
153,white,1.9740810260220096,-1.7147984280919266,0.41,0.1823215567939546,-3.036554268074246,3.713572066704308,97.0,0.9919,3.14,-0.7985076962177716,10.4,5
154,white,2.1041341542702074,-1.4696759700589417,0.4,2.0149030205422647,-3.0159349808715104,2.4849066497880004,76.0,0.9966,3.06,-0.1743533871447778,9.7,6
155,white,2.0014800002101243,-1.4271163556401458,0.42,2.6390573296152584,-2.7181005369557116,3.871201010907891,198.0,0.9979,2.89,-0.8675005677047231,8.9,6
156,white,2.0014800002101243,-1.4271163556401458,0.42,2.6390573296152584,-2.7181005369557116,3.871201010907891,198.0,0.9979,2.89,-0.8675005677047231,8.9,6
157,white,1.8082887711792655,-1.1394342831883648,0.24,0.4054651081081644,-3.3242363405260273,3.6375861597263857,124.0,0.9898,3.29,-0.8675005677047231,12.4,7
158,white,1.6486586255873816,-0.8209805520698302,0.04,0.3364722366212129,-3.3242363405260273,3.7612001156935624,119.0,0.9894,3.36,-1.1086626245216111,12.1,8
159,white,1.6486586255873816,-0.8209805520698302,0.04,0.3364722366212129,-3.3242363405260273,3.7612001156935624,119.0,0.9894,3.36,-1.1086626245216111,12.1,8
160,white,1.8082887711792655,-1.1394342831883648,0.24,0.4054651081081644,-3.3242363405260273,3.6375861597263857,124.0,0.9898,3.29,-0.8675005677047231,12.4,7
161,white,1.8562979903656263,-1.5141277326297755,0.56,2.6741486494265287,-2.900422093749666,3.295836866004329,159.0,0.998,2.98,-0.916290731874155,9.1,5
162,white,1.840549633397487,-1.0216512475319814,0.3,1.5686159179138452,-3.0159349808715104,2.6390573296152584,85.0,0.9932,3.28,-0.941608539858445,10.6,5
163,white,2.0014800002101243,-1.4271163556401458,0.42,2.6390573296152584,-2.7181005369557116,3.871201010907891,198.0,0.9979,2.89,-0.8675005677047231,8.9,6
164,white,1.9021075263969205,-1.4271163556401458,0.35,2.5726122302071057,-2.995732273553991,4.1588830833596715,205.0,0.997,3.15,-0.6931471805599453,9.5,5
165,white,1.9459101490553132,-1.4696759700589417,0.36,2.5649493574615367,-2.9759296462578115,4.276666119016055,177.0,0.9972,3.16,-0.7133498878774648,9.8,5
166,white,2.128231705849268,-1.3093333199837622,0.46,2.163323025660538,-3.036554268074246,3.6635616461296463,197.0,0.9974,3.14,-0.527632742082372,9.6,6
167,white,1.9021075263969205,-0.7765287894989963,0.18,0.8754687373538999,-3.3813947543659757,3.2188758248682006,98.0,0.9896,3.08,-0.8209805520698302,12.6,7
